Season	League	League	League Level	W	D	L	Goals	+/-	Points	Rank	Manager
58/59	LaLiga	LaLiga	First Tier	21	5	4	89:29	60	47:13	2	Luis Carniglia
57/58	LaLiga	LaLiga	First Tier	20	5	5	71:26	45	45:15	1	Luis Carniglia
56/57	LaLiga	LaLiga	First Tier	20	4	6	74:35	39	44:16	1	José Villalonga
55/56	LaLiga	LaLiga	First Tier	18	2	10	81:39	42	38:22	3	José Villalonga
54/55	LaLiga	LaLiga	First Tier	20	6	4	80:31	49	46:14	1	José Villalonga
53/54	LaLiga	LaLiga	First Tier	17	6	7	72:41	31	40:20	1	Enrique Fernández
52/53	LaLiga	LaLiga	First Tier	18	3	9	67:49	18	39:21	3	Juan Antonio Ipiña
51/52	LaLiga	LaLiga	First Tier	16	6	8	79:50	29	38:22	3	Héctor Scarone
50/51	LaLiga	LaLiga	First Tier	13	5	12	80:71	9	31:29	9	Héctor Scarone
49/50	LaLiga	LaLiga	First Tier	11	9	6	60:49	11	31:21	4	Mike Keeping
48/49	LaLiga	LaLiga	First Tier	15	4	7	67:42	25	34:18	3	Mike Keeping
47/48	LaLiga	LaLiga	First Tier	7	7	12	41:56	-15	21:31	11	Mike Keeping
46/47	LaLiga	LaLiga	First Tier	11	5	10	62:56	6	27:25	8	Baltasar Albéniz
45/46	LaLiga	LaLiga	First Tier	11	9	6	46:30	16	31:21	4	Jacinto Quincoces
44/45	LaLiga	LaLiga	First Tier	18	2	6	68:35	33	38:14	2	Ramón Encinas
43/44	LaLiga	LaLiga	First Tier	11	6	9	48:38	10	28:24	7	Ramón Encinas
42/43	LaLiga	LaLiga	First Tier	10	5	11	52:50	2	25:27	10	Ramón Encinas
41/42	LaLiga	LaLiga	First Tier	14	5	7	65:43	22	33:19	2	Joan Armet
40/41	LaLiga	LaLiga	First Tier	11	2	9	51:38	13	24:20	6	Paco Bru
39/40	LaLiga	LaLiga	First Tier	12	1	9	47:35	12	25:19	4	Paco Bru
35/36	LaLiga	LaLiga	First Tier	13	3	6	62:35	27	29:15	2	Paco Bru
34/35	LaLiga	LaLiga	First Tier	16	1	5	61:34	27	33:11	2	Paco Bru
33/34	LaLiga	LaLiga	First Tier	10	2	6	41:29	12	22:14	2	Paco Bru
32/33	LaLiga	LaLiga	First Tier	13	2	3	49:17	32	28:8	1	Robert Firth
31/32	LaLiga	LaLiga	First Tier	10	8	0	37:15	22	28:8	1	Lippo Hertzka
30/31	LaLiga	LaLiga	First Tier	7	4	7	24:27	-3	18:18	6	Lippo Hertzka
1929/30	LaLiga	LaLiga	First Tier	7	3	8	45:42	3	17:19	5	José Quirante
1928/29	LaLiga	LaLiga	First Tier	11	1	6	40:27	13	23:13	2	José Quirante
