Season	League	League	League Level	W	D	L	Goals	+/-	Points	Rank	Manager
57/58	LaLiga	LaLiga	First Tier	17	4	9	69:38	31	38:22	3	Helenio Herrera
56/57	LaLiga	LaLiga	First Tier	16	7	7	70:37	33	39:21	2	Domingo Balmanya
55/56	LaLiga	LaLiga	First Tier	22	3	5	67:26	41	47:13	2	Ferenc Plattkó
54/55	LaLiga	LaLiga	First Tier	17	7	6	75:39	36	41:19	2	Sandro Puppo
53/54	LaLiga	LaLiga	First Tier	16	4	10	74:39	35	36:24	2	Ferdinand Daucik
52/53	LaLiga	LaLiga	First Tier	19	4	7	82:43	39	42:18	1	Ferdinand Daucik
51/52	LaLiga	LaLiga	First Tier	19	5	6	92:43	49	43:17	1	Ferdinand Daucik
50/51	LaLiga	LaLiga	First Tier	16	3	11	83:61	22	35:25	4	Ferdinand Daucik
49/50	LaLiga	LaLiga	First Tier	13	3	10	67:47	20	29:23	5	Ramón Llorens
48/49	LaLiga	LaLiga	First Tier	16	5	5	66:36	30	37:15	1	Enrique Fernández
47/48	LaLiga	LaLiga	First Tier	15	7	4	65:31	34	37:15	1	Enrique Fernández
46/47	LaLiga	LaLiga	First Tier	14	3	9	59:42	17	31:21	4	Josep Samitier
45/46	LaLiga	LaLiga	First Tier	14	7	5	48:31	17	35:17	2	Josep Samitier
44/45	LaLiga	LaLiga	First Tier	17	5	4	50:30	20	39:13	1	Josep Samitier
43/44	LaLiga	LaLiga	First Tier	10	8	8	59:46	13	28:24	6	Juan José Nogués
42/43	LaLiga	LaLiga	First Tier	14	4	8	77:50	27	32:20	3	Juan José Nogués
41/42	LaLiga	LaLiga	First Tier	8	3	15	57:66	-9	19:33	12	Juan José Nogués
40/41	LaLiga	LaLiga	First Tier	13	1	8	55:45	10	27:17	3	Josep Planas
39/40	LaLiga	LaLiga	First Tier	8	3	11	32:38	-6	19:25	10	Josep Planas
35/36	LaLiga	LaLiga	First Tier	11	2	9	39:32	7	24:20	5	Patrick O'Connell
34/35	LaLiga	LaLiga	First Tier	9	6	7	55:44	11	24:20	6	Ferenc Plattkó
33/34	LaLiga	LaLiga	First Tier	8	0	10	42:40	2	16:20	9	Ramón Zabalo
32/33	LaLiga	LaLiga	First Tier	7	5	6	42:34	8	19:17	4	Jack Greenwell
31/32	LaLiga	LaLiga	First Tier	10	4	4	40:26	14	24:12	3	Jack Greenwell
30/31	LaLiga	LaLiga	First Tier	7	7	4	40:43	-3	21:15	4	James Bellamy
1929/30	LaLiga	LaLiga	First Tier	11	1	6	46:36	10	23:13	2	James Bellamy
1928/29	LaLiga	LaLiga	First Tier	11	3	4	37:23	14	25:11	1	James Bellamy
