Division,Pld,W,D,L,GF,GA,Pts,Pos,Cup[1],Sup.,LC,CL[3],UC[4],CW,IC,SC[5],CWC[6],Player(s),Goals,season
La Liga,44,18,11,15,58,54,47,7th,RU,,,,2R,,,,, Julio Salinas,18,1986–87
La Liga,38,19,10,9,60,38,48,3rd,QF,,,,,,,,, Julio Salinas,18,1987–88
La Liga,38,19,8,11,69,45,46,4th,SF,,,,1R,,,,, Baltazar,42,1988–89
La Liga,38,20,10,8,55,35,50,4th,R16,,,,1R,,,,, Baltazar,19,1989–90
La Liga,38,17,13,8,52,28,47,2nd,W,,,,1R,,,,, Manolo,18,1990–91
La Liga,38,24,5,9,67,35,53,3rd,W,RU,,,,QF,,,, Manolo,36,1991–92
La Liga,38,16,11,11,52,42,43,6th,R16,RU,,,,SF,,,, Luis García,20,1992–93
La Liga,38,13,9,16,54,54,35,12th,R16,,,,2R,,,,, Luis García,13,1993–94
La Liga,38,13,9,16,56,54,35,14th,QF,,,,,,,,, José Luis Caminero,11,1994–95
La Liga,42,26,9,7,75,32,87,W,W,,,,,,,,, Lyuboslav Penev,22,1995–96
La Liga,42,20,11,11,76,64,71,5th,QF,RU,,QF,,,,,, Juan Esnáider,21,1996–97
La Liga,38,16,12,10,79,56,60,7th,R16,,,,SF,,,,, Christian Vieri,29,1997–98
La Liga,38,12,10,16,54,50,46,13th,RU,,,,SF,,,,, José Mari,16,1998–99
La Liga,38,9,11,18,48,64,38,19th,RU,,,,R16,,,,, Jimmy Floyd Hasselbaink,35,1999–2000
Segunda División,42,21,11,10,59,39,74,4th,SF,,,,,,,,, Salva Ballesta,26,2000–01
Segunda División,42,23,10,9,68,44,79,1st,R64,,,,,,,,, Diego Alonso,22,2001–02
La Liga,38,12,11,15,51,56,47,12th,QF,,,,,,,,, Fernando Torres,14,2002–03
La Liga,38,15,10,13,51,53,55,7th,QF,,,,,,,,, Fernando Torres,21,2003–04
La Liga,38,13,11,14,40,34,50,11th,SF,,,,,,RU,,, Fernando Torres,20,2004–05
La Liga,38,13,13,12,45,37,52,10th,R16,,,,,,,,, Fernando Torres,13,2005–06
La Liga,38,17,9,12,46,39,60,7th,R16,,,,,,,,, Fernando Torres,15,2006–07
La Liga,38,19,7,12,66,47,64,4th,QF,,,,R32,,W,,, Kun Agüero,27,2007–08
La Liga,38,20,7,11,80,57,67,4th,QF,,,R16,,,,,, Diego Forlán,35,2008–09
La Liga,38,13,8,17,57,61,47,9th,RU,,,GS,W,,,,, Diego Forlán,28,2009–10
La Liga,38,17,7,14,62,53,58,7th,QF,,,,GS,,,W,, Kun Agüero,27,2010–11
La Liga,38,15,11,12,53,46,56,5th,R32,,,,W,,,,, Radamel Falcao,36,2011–12
La Liga,38,23,7,8,65,31,76,3rd,W,,,,R32,,,W,, Radamel Falcao,34,2012–13
La Liga,38,28,6,4,77,26,90,W,SF,RU,,RU,,,,,, Diego Costa,36,2013–14
La Liga,38,23,9,6,67,29,78,3rd,QF,W,,QF,,,,,, Antoine Griezmann,25,2014–15
La Liga,38,28,4,6,63,18,88,3rd,QF,,,RU,,,,,, Antoine Griezmann,32,2015–16
La Liga,38,23,9,6,70,27,78,3rd,SF,,,SF,,,,,, Antoine Griezmann,26,2016–17
La Liga,38,23,10,5,58,22,79,2nd,QF,,,GS,W,,,,, Antoine Griezmann,29,2017–18
La Liga,38,22,10,6,55,29,76,2nd,R16,,,R16,,,,W,, Antoine Griezmann,21,2018–19
La Liga,38,18,16,4,51,27,70,3rd,R32,RU,,QF,,,,,, Álvaro Morata,16,2019–20
La Liga,38,26,8,4,67,25,86,W,2R,,,R16,,,,,, Luis Suárez,21,2020–21
La Liga,38,21,8,9,65,43,71,3rd,R16,SF,,QF,,,,,, Ángel Correa Luis Suárez,13,2021–22
La Liga,38,23,8,7,70,33,77,3rd,QF,,,GS,,,,,, Antoine Griezmann,16,2022–23
La Liga,38,24,4,10,70,43,76,4th,SF,SF,,QF,,,,,, Antoine Griezmann,24,2023–24
