season,atleti first match,competitor first match,atleti second match,competitor second match,stage
2011/2012,3,1,1,0,R-32
2011/2012,3,1,3,0,R16
2011/2012,2,1,2,1,R8
2011/2012,4,2,1,0,semi_finals
2011/2012,3,0,0,0,finals
